Date,Open,High,Low,Close,Volume
2019-06-17,307.519989,313.000000,303.709991,310.339996,59800
2019-06-18,312.380005,316.000000,303.079987,303.899994,62100
2019-06-19,303.420013,305.000000,295.350006,299.799988,82800
2019-06-20,300.299988,305.079987,297.000000,301.750000,47000
2019-06-21,300.769989,302.459991,298.250000,302.420013,53100
2019-06-24,302.609985,303.750000,296.000000,297.549988,35400
2019-06-25,298.809998,304.600006,298.679993,300.109985,36400
2019-06-26,301.480011,301.480011,292.339996,292.339996,41500
2019-06-27,292.230011,302.290009,291.619995,301.929993,56000
2019-06-28,300.929993,301.299988,297.619995,299.250000,75000
2019-07-01,300.019989,311.390015,299.920013,311.130005,44800
2019-07-02,311.489990,313.739990,308.119995,312.880005,58800
2019-07-03,311.640015,316.510010,310.709991,315.000000,25000
2019-07-05,315.000000,321.540009,308.179993,318.399994,65600
2019-07-08,317.959991,319.010010,309.269989,310.489990,63400
2019-07-09,314.869995,314.869995,305.670013,308.880005,62400
2019-07-10,309.829987,317.200012,307.799988,311.619995,107200
2019-07-11,311.929993,313.399994,304.019989,305.850006,91700
2019-07-12,306.149994,306.279999,302.399994,304.649994,54000
2019-07-15,304.720001,307.239990,303.369995,304.559998,35600
2019-07-16,304.359985,305.220001,301.399994,302.940002,24400
2019-07-17,303.239990,304.230011,299.570007,300.260010,28200
2019-07-18,300.320007,303.000000,295.609985,297.200012,32600
2019-07-19,295.670013,299.480011,290.760010,291.269989,45800
2019-07-22,292.420013,296.399994,290.000000,292.859985,41800
2019-07-23,294.040009,297.190002,288.040009,289.769989,46600
2019-07-24,289.440002,290.519989,287.000000,290.279999,35100
2019-07-25,290.410004,290.799988,288.350006,289.679993,38500
2019-07-26,290.500000,296.000000,290.500000,293.000000,64200
2019-07-29,293.079987,298.390015,290.089996,292.720001,82900
2019-07-30,292.010010,296.989990,292.010010,294.450012,66300
2019-07-31,294.480011,296.600006,290.010010,293.529999,70000
2019-08-01,294.390015,296.209991,287.709991,288.329987,85600
2019-08-02,287.429993,294.720001,283.459991,292.600006,65200
2019-08-05,291.440002,291.440002,277.640015,280.279999,90600
2019-08-06,281.950012,298.970001,281.950012,293.440002,88200
2019-08-07,301.359985,360.000000,300.989990,324.790009,368000
2019-08-08,326.100006,338.149994,323.600006,336.549988,167300
2019-08-09,335.500000,338.920013,328.040009,333.760010,66400
2019-08-12,333.730011,350.869995,332.660004,346.500000,76500
2019-08-13,347.799988,356.119995,345.459991,352.130005,59300
2019-08-14,346.160004,353.230011,343.390015,347.529999,75500
2019-08-15,349.769989,360.910004,346.910004,356.929993,63900
2019-08-16,357.140015,366.000000,355.179993,364.809998,43600
2019-08-19,367.149994,382.510010,367.149994,368.910004,112000
2019-08-20,369.040009,375.989990,363.119995,365.820007,78400
2019-08-21,370.230011,371.130005,344.290009,349.600006,104300
2019-08-22,349.149994,360.769989,342.980011,355.690002,65900
2019-08-23,354.670013,358.500000,339.170013,339.170013,64500
2019-08-26,341.709991,348.000000,337.609985,338.700012,73100
2019-08-27,339.359985,343.950012,333.869995,339.820007,84300
2019-08-28,340.500000,349.750000,339.529999,345.910004,88800
2019-08-29,348.839996,352.279999,345.910004,346.600006,56000
2019-08-30,348.899994,350.980011,334.140015,336.609985,53600
2019-09-03,335.130005,341.209991,332.339996,333.709991,57600
2019-09-04,335.630005,335.630005,311.440002,312.799988,104100
2019-09-05,315.000000,316.730011,302.320007,305.829987,80400
2019-09-06,306.470001,309.989990,295.329987,298.510010,104200
2019-09-09,300.489990,300.489990,286.519989,292.450012,124800
2019-09-10,291.739990,291.739990,282.260010,289.269989,98500
2019-09-11,290.540009,298.000000,290.540009,294.630005,69900
2019-09-12,296.049988,300.910004,295.640015,300.170013,81500
2019-09-13,299.500000,301.890015,289.220001,290.959991,61200
2019-09-16,289.239990,297.850006,285.750000,286.980011,156200
2019-09-17,287.170013,289.399994,280.329987,286.059998,121900
2019-09-18,294.350006,298.549988,285.000000,298.029999,111200
2019-09-19,298.040009,314.489990,298.040009,301.380005,99100
2019-09-20,300.399994,302.700012,292.040009,294.100006,77300
2019-09-23,295.899994,301.950012,294.790009,294.869995,42600
2019-09-24,297.579987,300.209991,292.529999,295.649994,55600
2019-09-25,296.750000,299.470001,295.260010,296.709991,42800
2019-09-26,296.510010,301.329987,296.160004,300.000000,68600
2019-09-27,300.209991,305.429993,297.320007,301.160004,59500
2019-09-30,301.269989,304.809998,298.230011,303.869995,43100
2019-10-01,305.000000,305.980011,298.119995,302.230011,39200
2019-10-02,300.200012,303.440002,292.010010,293.359985,40200
2019-10-03,294.239990,297.299988,288.910004,293.420013,50600
2019-10-04,294.500000,307.730011,294.470001,307.200012,73200
2019-10-07,305.279999,305.279999,299.190002,301.809998,38500
2019-10-08,300.850006,301.600006,294.179993,294.940002,33500
2019-10-09,296.260010,296.470001,291.630005,294.829987,25700
2019-10-10,294.829987,298.130005,291.809998,293.859985,42300
2019-10-11,295.630005,297.130005,291.649994,292.399994,30300
2019-10-14,292.600006,293.299988,285.549988,290.940002,31500
2019-10-15,292.140015,294.450012,287.359985,287.829987,43200
2019-10-16,287.920013,291.190002,285.000000,291.190002,29300
2019-10-17,291.940002,295.299988,291.239990,291.890015,33500
2019-10-18,292.049988,293.149994,287.010010,287.299988,34700
2019-10-21,289.170013,294.130005,285.140015,290.649994,64400
2019-10-22,290.809998,290.809998,279.480011,281.279999,47300
2019-10-23,282.000000,282.000000,266.010010,271.190002,86900
2019-10-24,272.679993,280.279999,270.269989,276.769989,30700
2019-10-25,276.640015,280.000000,270.859985,272.079987,29500
2019-10-28,273.350006,277.140015,271.109985,271.760010,40400
